NCBI TaxID,Species,Notes,Domain,Phylum,Gram stain (bacteria),BSL level,Application area,Source Niche,Cultivation tags,Genetic tool readiness level,Need day 1,Author,Alternative names,Projects
333374,Halobacillus blutaparonensis,Producer of alkaline serine peptidases with potential application as additives. Potential source of other enzymes for biomass pre-treatment for biofuel production,Bacteria,Bacillota,Positive,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
2242,Halobacterium salinarum,"Bacteriorhodopsin and Bacterioruberin (antioxidant, DNA protection mechanism) and ectoin producer. Potential source of enzymes for biomass pre-treatment for biofuel production",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
2243,Halobacterium sp.,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
43928,Halobaculum gomorrense,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
85075,Halochromatium glycolicum,"Photo-organothoph, can grow using glycolate. Potential source of enzymes for biomass pre-treatment for biofuel production",Bacteria,Pseudomonadota,Negative,1,"Production, Sustainability",Extreme: salt lake/soil,"Anaerobe, Halophile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
179637,Halococcus dombrowskii,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
2250,Halococcus morrhuae,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
36738,Halococcus salifodinae,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
403191,Haloferax elongans,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
2252,Haloferax mediterranei,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
2246,Haloferax volcanii,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
272774,Halomonas alkaliphila,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Bacteria,Pseudomonadota,Negative,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
115555,Halomonas axialensis,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Bacteria,Pseudomonadota,Negative,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
2746,Halomonas elongata,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Bacteria,Pseudomonadota,Negative,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
252,Halomonas halmophila,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Bacteria,Pseudomonadota,Negative,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
115561,Halomonas hydrothermalis,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Bacteria,Pseudomonadota,Negative,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
29570,Halomonas meridiana,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Bacteria,Pseudomonadota,Negative,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
115551,Halomonas neptunia,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Bacteria,Pseudomonadota,Negative,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
42565,Halomonas salina,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Bacteria,Pseudomonadota,Negative,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
29571,Halomonas subglaciescola,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Bacteria,Pseudomonadota,Negative,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
115553,Halomonas sulfidaeris,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Bacteria,Pseudomonadota,Negative,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
664683,Halomonas titanicae,"Oil-eating, steel-munching bacteria, famous for being responsible for deteriorating the Titanic",Bacteria,Pseudomonadota,Negative,1,Bioremediation,Extreme: deep sea,Halophile,Unreviewed,No,Clair Kang,,CRISPRi
29283,"Halorubrum
  distributum","Some strains are PHA/PHB producers. Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
35743,"Halorubrum
  sodomense","Its cell surface membrane contains Archaerhodopsin-3 (AR3), a photoreceptor protein which harvests the energy from sunlight to establish a proton motive force that is used for ATP synthesis. Some strains are PHA/PHB producers. Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
29284,"Halorubrum
  trapanicum","Some strains are PHA/PHB producers. Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
62320,"Haloterrigena
  turkmenica","Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
47960,"Halothiobacillus
  halophilus","Sulfur-reducing bacteria. Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Bacteria,Pseudomonadota,Negative,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Chemolitotrophic, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
76867,Hebeloma cylindrosporum,"Ectomycorrhizal fungus that can be transformed and grown axenically, can establish mycorrhiza with pine",Eukarya,Basidiomycota,,1,Basic science,,"Aerobe, Filamentous, Mesophile",Level 3,No,Charlie Gilbert,,
39966,Hypsizygus marmoreus,"Edible fungus, grows on LCM",Eukarya,Basidiomycota,,1,"Food, Materials, Sustainability",,"Aerobe, Filamentous, Mesophile",Level 3,No,Charlie Gilbert,,
135577,"Idiomarina
  loihiensis","Metabolites profiling such as membrane lipids, cell wall components and bacteriorhodopsin related to high salt concentrations from various habitats",Bacteria,Pseudomonadota,Negative,1,Production,Extreme: deep sea,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
,Idiomarina abyssalis sp. nov. (type strain is KMM 227T),"""Idiomarina: The genus is related to the genera Alteromonas, Pseudoalteromonas and Colwellia within the family Alteromonadaceae in the subclass c-Proteobacteria. Features that distinguish members of the genusIdiomarina from other marine bacteria are their high content of iso-branched fatty acids and their physiological properties, in particular their ability to grow within a broad range of temperatures, pH values and NaCl concentrations (Martı´nez-Ca´novas et al., 2004). All members of the genus Idiomarina possess characteristically high contents of iso-branched cellular fatty acids and have been isolated from saline environments""",Bacteria,Pseudomonadota,Negative,1,Basic science,Extreme: deep sea,"Aerobe, Halophile, Mesophile, Psychrophile",Level 4,yes,Anna Douyon,,DNA delivery screen
,Idiomarina andamanensis JCM 31645 (type strain W5),"""Idiomarina: The genus is related to the genera Alteromonas, Pseudoalteromonas and Colwellia within the family Alteromonadaceae in the subclass c-Proteobacteria. Features that distinguish members of the genusIdiomarina from other marine bacteria are their high content of iso-branched fatty acids and their physiological properties, in particular their ability to grow within a broad range of temperatures, pH values and NaCl concentrations (Martı´nez-Ca´novas et al., 2004). All members of the genus Idiomarina possess characteristically high contents of iso-branched cellular fatty acids and have been isolated from saline environments""",Bacteria,Pseudomonadota,Negative,1,Basic science,Aquatic: marine,"Aerobe, Mesophile",Level 4,yes,Anna Douyon,,DNA delivery screen
,Idiomarina baltica OS145,"""Idiomarina: The genus is related to the genera Alteromonas, Pseudoalteromonas and Colwellia within the family Alteromonadaceae in the subclass c-Proteobacteria. Features that distinguish members of the genusIdiomarina from other marine bacteria are their high content of iso-branched fatty acids and their physiological properties, in particular their ability to grow within a broad range of temperatures, pH values and NaCl concentrations (Martı´nez-Ca´novas et al., 2004). All members of the genus Idiomarina possess characteristically high contents of iso-branched cellular fatty acids and have been isolated from saline environments""",Bacteria,Pseudomonadota,Negative,1,Basic science,Aquatic: marine,"Aerobe, Mesophile",Level 4,yes,Anna Douyon,,DNA delivery screen
,Idiomarina baltica OS146,"""Idiomarina: The genus is related to the genera Alteromonas, Pseudoalteromonas and Colwellia within the family Alteromonadaceae in the subclass c-Proteobacteria. Features that distinguish members of the genusIdiomarina from other marine bacteria are their high content of iso-branched fatty acids and their physiological properties, in particular their ability to grow within a broad range of temperatures, pH values and NaCl concentrations (Martı´nez-Ca´novas et al., 2004). All members of the genus Idiomarina possess characteristically high contents of iso-branched cellular fatty acids and have been isolated from saline environments""",Bacteria,Pseudomonadota,Negative,1,Basic science,Aquatic: marine,"Aerobe, Mesophile",Level 4,yes,Anna Douyon,,DNA delivery screen
,Idiomarina fontislapidosi F23,"""Idiomarina: The genus is related to the genera Alteromonas, Pseudoalteromonas and Colwellia within the family Alteromonadaceae in the subclass c-Proteobacteria. Features that distinguish members of the genusIdiomarina from other marine bacteria are their high content of iso-branched fatty acids and their physiological properties, in particular their ability to grow within a broad range of temperatures, pH values and NaCl concentrations (Martı´nez-Ca´novas et al., 2004). All members of the genus Idiomarina possess characteristically high contents of iso-branched cellular fatty acids and have been isolated from saline environments""",Bacteria,Pseudomonadota,Negative,1,Basic science,Extreme: salt lake/soil,"Aerobe, Mesophile",Level 4,yes,Anna Douyon,,DNA delivery screen
,Idiomarina indica SW104,"""Idiomarina: The genus is related to the genera Alteromonas, Pseudoalteromonas and Colwellia within the family Alteromonadaceae in the subclass c-Proteobacteria. Features that distinguish members of the genusIdiomarina from other marine bacteria are their high content of iso-branched fatty acids and their physiological properties, in particular their ability to grow within a broad range of temperatures, pH values and NaCl concentrations (Martı´nez-Ca´novas et al., 2004). All members of the genus Idiomarina possess characteristically high contents of iso-branched cellular fatty acids and have been isolated from saline environments""",Bacteria,Pseudomonadota,Negative,1,Basic science,Aquatic: marine,"Aerobe, Mesophile",Level 4,yes,Anna Douyon,,DNA delivery screen
,Idiomarina loihiensis L2-TR [DSM 15497],"""Idiomarina: The genus is related to the genera Alteromonas, Pseudoalteromonas and Colwellia within the family Alteromonadaceae in the subclass c-Proteobacteria. Features that distinguish members of the genusIdiomarina from other marine bacteria are their high content of iso-branched fatty acids and their physiological properties, in particular their ability to grow within a broad range of temperatures, pH values and NaCl concentrations (Martı´nez-Ca´novas et al., 2004). All members of the genus Idiomarina possess characteristically high contents of iso-branched cellular fatty acids and have been isolated from saline environments""",Bacteria,Pseudomonadota,Negative,1,Basic science,thermal vent,"Aerobe, Halophile, Mesophile",Level 4,yes,Anna Douyon,,DNA delivery screen
,Idiomarina maris CF12-14,"""Idiomarina: The genus is related to the genera Alteromonas, Pseudoalteromonas and Colwellia within the family Alteromonadaceae in the subclass c-Proteobacteria. Features that distinguish members of the genusIdiomarina from other marine bacteria are their high content of iso-branched fatty acids and their physiological properties, in particular their ability to grow within a broad range of temperatures, pH values and NaCl concentrations (Martı´nez-Ca´novas et al., 2004). All members of the genus Idiomarina possess characteristically high contents of iso-branched cellular fatty acids and have been isolated from saline environments""",Bacteria,Pseudomonadota,Negative,1,Basic science,Extreme: deep sea,"Aerobe, Mesophile",Level 4,yes,Anna Douyon,,DNA delivery screen
,Idiomarina ramblicola R22,"""Idiomarina: The genus is related to the genera Alteromonas, Pseudoalteromonas and Colwellia within the family Alteromonadaceae in the subclass c-Proteobacteria. Features that distinguish members of the genusIdiomarina from other marine bacteria are their high content of iso-branched fatty acids and their physiological properties, in particular their ability to grow within a broad range of temperatures, pH values and NaCl concentrations (Martı´nez-Ca´novas et al., 2004). All members of the genus Idiomarina possess characteristically high contents of iso-branched cellular fatty acids and have been isolated from saline environments""",Bacteria,Pseudomonadota,Negative,1,Basic science,Extreme: salt lake/soil,"Aerobe, Mesophile",Level 4,yes,Anna Douyon,,DNA delivery screen
,Idiomarina seosinensis CL-SP19,"""Idiomarina: The genus is related to the genera Alteromonas, Pseudoalteromonas and Colwellia within the family Alteromonadaceae in the subclass c-Proteobacteria. Features that distinguish members of the genusIdiomarina from other marine bacteria are their high content of iso-branched fatty acids and their physiological properties, in particular their ability to grow within a broad range of temperatures, pH values and NaCl concentrations (Martı´nez-Ca´novas et al., 2004). All members of the genus Idiomarina possess characteristically high contents of iso-branched cellular fatty acids and have been isolated from saline environments""",Bacteria,Pseudomonadota,Negative,1,Basic science,Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Level 4,yes,Anna Douyon,,DNA delivery screen
,Idiomarina tyrosinivorans CC-PW-9,"""Idiomarina: The genus is related to the genera Alteromonas, Pseudoalteromonas and Colwellia within the family Alteromonadaceae in the subclass c-Proteobacteria. Features that distinguish members of the genusIdiomarina from other marine bacteria are their high content of iso-branched fatty acids and their physiological properties, in particular their ability to grow within a broad range of temperatures, pH values and NaCl concentrations (Martı´nez-Ca´novas et al., 2004). All members of the genus Idiomarina possess characteristically high contents of iso-branched cellular fatty acids and have been isolated from saline environments""",Bacteria,Pseudomonadota,Negative,1,Basic science,Aquatic: marine,"Aerobe, Mesophile",Level 4,yes,Anna Douyon,,DNA delivery screen
,Idiomarina zobellii sp. nov. (type strain is KMM 231T).,"""Idiomarina: The genus is related to the genera Alteromonas, Pseudoalteromonas and Colwellia within the family Alteromonadaceae in the subclass c-Proteobacteria. Features that distinguish members of the genusIdiomarina from other marine bacteria are their high content of iso-branched fatty acids and their physiological properties, in particular their ability to grow within a broad range of temperatures, pH values and NaCl concentrations (Martı´nez-Ca´novas et al., 2004). All members of the genus Idiomarina possess characteristically high contents of iso-branched cellular fatty acids and have been isolated from saline environments""",Bacteria,Pseudomonadota,Negative,1,Basic science,Extreme: deep sea,"Aerobe, Halophile, Mesophile, Psychrophile",Level 4,yes,Anna Douyon,,DNA delivery screen
573,Klebsiella pneumoniae,Glycerol fermentation to value-added compounds,Bacteria,Pseudomonadota,Negative,2,Production,Gut microbiome,Facultative anaerobe,Unreviewed,No,Clair Kang,,CRISPRi
206542,Knufia petricola,"Growth in extreme environments, rock, building materials",Eukarya,Ascomycota,,1,Basic science,,"Aerobe, Slow grower",Level 1,No,Charlie Gilbert,,
215221,Komagataeibacter rhaeticus,High level bacterial cellulose producer,Bacteria,Pseudomonadota,,1,Materials,,"Aerobe, Biofilm Formation, Mesophile",Level 1,No,Charlie Gilbert,,
29883,Laccaria bicolor,Model for ectomycorrhizal association (with Poplar),Eukarya,Basidiomycota,,1,"Agriculture, Basic science",,"Filamentous, Slow grower",Level 3,No,Charlie Gilbert,,
1579,"Lactobacillus
  acidophilus","Probiotic, adjunct in many food fermentation processes contributing to unique taste, flavor, and texture",Bacteria,Bacillota,Positive,1,Health,Gut microbiome,"Mesophile, Microaerophile",Unreviewed,No,Zaira Martín Moldes,,
1358,Lactococcus lactis,Dairy industry and component of gut microbiome,Bacteria,Bacillota,Positive,1,Health,Gut microbiome,"Aerobe, Mesophile",Level 1,yes,Charlie Gilbert,,CRISPRi
304268,Litchfieldia alkalitelluris,"Produces unique proteins: MFS transporter, M15 family metallopeptidase, https://en.wikipedia.org/wiki/Amidohydrolase and l-glutamate gamma-semialdehyde dehydrogenase. Potential source for other pH-stable enzymes",Bacteria,Firmicutes,Positive,1,"Production, Sustainability","Mineral ores, Soil","Aerobe, Alkaliphile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
1371,"Marinococcus
  halophilus","Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Bacteria,Firmicutes,Positive,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
43687,"Metallosphaera
  sedula",High tolerance to metal ions(metal mobilizing). Versatile metabolism (C fixation and growth in H2).Potential for bioleaching (solubilizes chaclcopyrite),Archaea,Euryarchaeota,,1,"Bioremediation, Production",Extreme: hot spring,"Aerobe, Thermophile",Unreviewed,No,Zaira Martín Moldes,,
568076,Metarhizium robertsii,"Entomopathogenic fungus with broad-host range, widely commerically used in biocontrol of insects, plant endophyte.",Eukarya,Ascomycota,,1,Agriculture,,"Aerobe, Filamentous, Mesophile",Level 2,No,Charlie Gilbert,,
156457,Methanocalculus chunghsingensis,Hydrogenotrophic methanogens,Archaea,Euryarchaeota,,1,Sustainability,Aquatic: marine,"Anaerobe, Chemoautotrophe, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
106207,Methanocalculus taiwanensis,Hydrogenotrophic methanogens,Archaea,Euryarchaeota,,1,Sustainability,Aquatic: marine,"Anaerobe, Chemoautotrophe, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
39152,Methanococcus maripaludis,Converts CO2 and H2 into a useful cleaner energy fuel (CH4). N2 fixation,Archaea,Euryarchaeota,,1,Sustainability,Marine sediment,"Anaerobe, Chemoautotrophe, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
2322,"Methanohalobium
  evestigatum",Hydrogenotrophic methanogens,Archaea,Euryarchaeota,,1,Sustainability,Extreme: salt lake/soil,"Anaerobe, Chemoautotrophe, Halophile, Moderate Thermophile",Unreviewed,No,Zaira Martín Moldes,,
2177,Methanohalophilus halophilus,Hydrogenotrophic methanogens,Archaea,Euryarchaeota,,1,Sustainability,Marine sediment,"Anaerobe, Chemoautotrophe, Halophile, Moderate Thermophile",Unreviewed,No,Zaira Martín Moldes,,
227605,Methylocella tundrae,Plant growth promoting. Potential in biomining. Methylotrophic,Bacteria,Pseudomonadota,Negative,1,"Agriculture, Bioremediation",Acidic soil,"Acidiphile, Anaerobe, Chemoautotrophe, Psychrophile",Unreviewed,No,Zaira Martín Moldes,,
414,Methylococcus capsulatus,Plant growth promoting. Methylotrophic,Bacteria,Pseudomonadota,Negative,1,Agriculture,Extreme: hot spring,"Anaerobe, Chemoautotrophe, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
1091494,"Methylomicrobium alcaliphilum
  20Z",Production of ectoines from methane,Bacteria,Pseudomonadota,Negative,1,Sustainability,Extreme: soda lake,"Aerobe, Alkaliphile, Chemoautotrophe, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
421,Methylomonas methanica,Plant growth promoting. Methylotrophic,Bacteria,Pseudomonadota,Negative,1,Agriculture,Aquatic: marine,"Aerobe, Chemoautotrophe, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
,Methylomonas sp. Strain LW13,Plant growth promoting. Methylotrophic,Bacteria,Pseudomonadota,Negative,1,Agriculture,Aquatic: marine,"Aerobe, Chemoautotrophe, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
182774,Methylophaga alcalica,Accumulates ectoine and glutamate intracellularly as the main osmoprotectants. Methylotrophic.,Bacteria,Pseudomonadota,Negative,1,Production,Extreme: soda lake,"Aerobe, Alkaliphile, Chemoautotrophe, Halophile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
408,Methylorubrum extorquens,"Produces PhyR, plat-promoting growth. Potential tolerance to heavy metals and aromatics. Methylotrophic. Potential source of enzymes of enzymes, food and skin-care products industry",Bacteria,Pseudomonadota,Negative,1,"Agriculture, Bioremediation, Production",Soil,"Aerobe, Chemoautotrophe, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
76884,Microbacterium kitamiense,Polysaccharide-producing bacterium isolated from the wastewater of a sugar-beet factory. Potential source of enzymes for biomass pre-treatment for biofuel production,Bacteria,Actinomycetota,Positive,1,"Production, Sustainability",Tree/Fruit/food,"Aerobe, Alkaliphile, Mesophile, Slow grower",Unreviewed,No,Zaira Martín Moldes,,
,Microcella alcalica,Potential source of pH-stable enzymes,Bacteria,Actinomycetota,Positive,1,Production,Extreme: alkaline water,"Aerobe, Alkaliphile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
279828,Microcella alkaliphila,Potential source of pH-stable enzymes,Bacteria,Actinomycetota,Positive,1,Production,Extreme: alkaline water,"Aerobe, Alkaliphile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
337005,Microcella putealis,Potential source of pH-stable enzymes,Bacteria,Actinomycetota,Positive,1,Production,Extreme: alkaline water,"Aerobe, Alkaliphile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
64518,Mortierella alpina,Polyunsaturated fatty acids used as food additives,Eukarya,Mucoromycota,,1,Production,,"Aerobe, Filamentous, Mesophile",Level 2,No,Charlie Gilbert,,
36080,Mucor circinelloides,Polyunsaturated fatty acids used as food additives,Eukarya,Mucoromycota,,1,Production,,"Aerobe, Filamentous, Mesophile",Level 2,No,Charlie Gilbert,,
1772,"Mycobacterium
  smegmatis","Fast growing, non-pathogenic mycobacteria; industrial production of L-arabinose; hormone production",Bacteria,Actinomycetota,Positive,1,"Basic science, Health, Production","Aquatic: freshwater, Aquatic: marine, Soil","Aerobe, Mesophile",Unreviewed,No,Zaira Martín Moldes,,CRISPRi
64602,Natrialba asiatica,"Poly-γ-glutamic acid producer. Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile, Slow grower",Unreviewed,yes,Zaira Martín Moldes,,
13769,Natrialba magadii,"Poly-γ-glutamic acid producer. Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile, Slow grower",Unreviewed,No,Zaira Martín Moldes,,
44930,Natronobacterium gregoryi,"Poly-γ-glutamic acid producer. Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Alkaliphile, Halophile, Mesophile, Slow grower",Unreviewed,No,Zaira Martín Moldes,,
44470,Natronococcus amylolyticus,"Poly-γ-glutamic acid producer. Amylase producer. Potential source of other enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Alkaliphile, Halophile, Mesophile, Slow grower",Unreviewed,No,Zaira Martín Moldes,,
29288,Natronococcus occultus,"Poly-γ-glutamic acid producer. Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Alkaliphile, Halophile, Mesophile, Slow grower",Unreviewed,No,Zaira Martín Moldes,,
745377,Natronolimnobius aegyptiacus,"Poly-γ-glutamic acid producer. Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile, Slow grower",Unreviewed,No,Zaira Martín Moldes,,
2257,Natronomas pharaonis,"Poly-γ-glutamic acid producer. Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile, Slow grower",Unreviewed,yes,Zaira Martín Moldes,,
244787,Nautilia profundicola,Potential source of thermo-stable enzymes. Sulfur-reducing,Bacteria,Campylobacterota,Negative,1,Production,Extreme: hot spring,"Anaerobe, Chemolitotrophic, Moderate Thermophile",Unreviewed,No,Zaira Martín Moldes,,
37922,Nesterenkonia halobia,"Poly-γ-glutamic acid producer. Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile, Slow grower",Unreviewed,yes,Zaira Martín Moldes,,
,"Neurospora
  crassa DC22","Applications in photobiology, circadian rhythms, population biology, morphogenesis, mitochondrial import, DNA repair and recombination, DNA methylation, and other epigenetic processes",Eukarya,Ascomycota,,1,Basic science,Tree/Fruit/food,"Aerobe, Filamentous, Mesophile",Level 1,yes,Zaira Martín Moldes,,
40126,Neurospora sitophila,Used to produce oncom (tempe-like fermentation),Eukarya,Ascomycota,,1,"Basic science, Food",,"Aerobe, Filamentous, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
267850,https://www.atcc.org/products/baa-920,Production of flavin-containing monooxygenase,Bacteria,Pseudomonadota,Negative,1,Production,Extreme: soda lake,"Aerobe, Alkaliphile, Halophile",Unreviewed,yes,Zaira Martín Moldes,,
590849,Nitritalea halalkaliphila,"Produces carotenoids. Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Bacteria,Bacteroidota,Negative,1,Production,Extreme: alkaline water,"Aerobe, Alkaliphile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
225762,Nocardiopsis alkaliphila,Produces nocardiopyronone A and B (polyketides) and pyridinols,Bacteria,Actinomycetota,Positive,1,Production,Extreme: alkaline water,"Aerobe, Alkaliphile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
43678,Oerskovia enterophila,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Bacteria,Actinomycetota,Positive,1,Production,Millipede faeces,"Aerobe, Alkaliphile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
162169,Oerskovia jenensis,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Bacteria,Actinomycetota,Positive,1,Production,Soil,"Aerobe, Alkaliphile, Mesophile, Slow grower",Unreviewed,No,Zaira Martín Moldes,,
162170,Oerskovia paurometabola,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Bacteria,Actinomycetota,Positive,1,Production,Soil,"Aerobe, Alkaliphile, Mesophile, Slow grower",Unreviewed,No,Zaira Martín Moldes,,
